Monday, December 01 04:00PM, 2008



Session #1

Time Stamp 	X-axis 		Y-axis 		Z-axis 		
4282075   	1836.521  	2737.759  	-336.331  	
4282177   	1836.527  	2737.756  	-336.326  	
4282276   	1836.526  	2737.756  	-336.322  	
4282375   	1836.569  	2737.774  	-336.322  	
4282474   	1837.434  	2737.870  	-336.309  	
4282576   	1837.889  	2737.923  	-336.303  	
4282675   	1838.467  	2738.006  	-336.290  	
4282777   	1839.146  	2738.083  	-336.279  	
4282876   	1839.768  	2738.172  	-336.270  	
4282975   	1840.490  	2738.258  	-336.263  	
4283074   	1841.159  	2738.353  	-336.253  	
4283176   	1841.706  	2738.416  	-336.251  	
4283275   	1842.794  	2738.563  	-336.248  	
4283374   	1843.938  	2738.706  	-336.242  	
4283476   	1845.034  	2738.840  	-336.238  	
4283575   	1846.257  	2739.000  	-336.228  	
4283677   	1847.463  	2739.160  	-336.213  	
4283776   	1848.261  	2739.253  	-336.204  	
4283875   	1849.227  	2739.381  	-336.201  	
4283974   	1850.559  	2739.549  	-336.186  	
4284076   	1851.177  	2739.627  	-336.179  	
4284175   	1852.118  	2739.758  	-336.159  	
4284274   	1853.340  	2739.920  	-336.137  	
4284376   	1854.685  	2740.092  	-336.122  	
4284475   	1856.284  	2740.298  	-336.102  	
4284574   	1858.023  	2740.521  	-336.092  	
4284676   	1859.759  	2740.745  	-336.080  	
4284775   	1861.286  	2740.944  	-336.067  	
4284874   	1862.687  	2741.120  	-336.046  	
4284976   	1863.156  	2741.180  	-336.045  	
4285075   	1864.280  	2741.327  	-336.039  	
4285177   	1865.523  	2741.494  	-336.029  	
4285276   	1868.035  	2741.808  	-335.982  	
4285375   	1870.640  	2742.149  	-335.949  	
4285474   	1873.069  	2742.459  	-335.928  	
4285576   	1876.340  	2742.870  	-335.913  	
4285675   	1878.927  	2743.205  	-335.892  	
4285777   	1880.238  	2743.370  	-335.883  	
4285876   	1881.262  	2743.500  	-335.866  	
4285975   	1882.357  	2743.648  	-335.850  	
4286074   	1883.640  	2743.806  	-335.829  	
4286176   	1885.210  	2744.012  	-335.799  	
4286275   	1886.452  	2744.168  	-335.791  	


Session #5

Time Stamp 	X-axis 		Y-axis 		Z-axis 		
4305689   	1815.511  	2735.087  	-353.406  	
4305791   	1815.509  	2735.086  	-353.407  	
4305890   	1815.511  	2735.087  	-353.407  	
4305989   	1815.521  	2735.089  	-354.427  	
4306091   	1815.542  	2735.089  	-355.385  	
4306190   	1815.554  	2735.088  	-357.031  	
4306289   	1815.581  	2735.087  	-359.602  	
4306388   	1815.592  	2735.089  	-360.715  	
4306520   	1815.613  	2735.089  	-362.667  	
4306619   	1815.630  	2735.092  	-364.501  	
4306718   	1815.647  	2735.094  	-366.249  	
4306820   	1815.700  	2735.083  	-370.749  	
4306919   	1815.738  	2735.085  	-374.105  	
4307021   	1815.750  	2735.096  	-375.488  	
4307120   	1815.780  	2735.092  	-378.481  	
4307219   	1815.806  	2735.092  	-380.820  	
4307318   	1815.838  	2735.094  	-383.613  	
4307420   	1815.862  	2735.095  	-386.705  	
4307519   	1815.892  	2735.105  	-389.753  	
4307621   	1815.938  	2735.098  	-394.032  	
4307720   	1815.961  	2735.099  	-396.535  	
4307819   	1815.974  	2735.102  	-397.554  	
4307921   	1816.007  	2735.104  	-400.465  	
4308020   	1816.030  	2735.099  	-403.191  	
4308119   	1816.055  	2735.102  	-405.738  	
4308218   	1816.099  	2735.080  	-410.078  	
4308320   	1816.097  	2735.106  	-410.079  	
4308419   	1816.097  	2735.099  	-410.436  	
4308521   	1816.099  	2735.100  	-410.813  	
4308620   	1816.087  	2735.098  	-410.948  	
4308719   	1816.011  	2735.087  	-411.008  	
4308818   	1815.771  	2735.074  	-411.086  	
4308920   	1815.614  	2735.073  	-411.131  	
4309019   	1815.499  	2735.063  	-411.131  	
4309118   	1815.320  	2735.061  	-411.156  	
4309220   	1815.023  	2735.038  	-411.199  	
4309319   	1814.860  	2735.051  	-411.267  	
4309421   	1815.602  	2735.097  	-411.472  	
4309520   	1816.114  	2735.109  	-412.334  	
4309628   	1816.029  	2735.152  	-413.386  	
4309730   	1816.029  	2735.152  	-413.386  	
4309829   	1816.029  	2735.152  	-413.386  	
4309931   	1816.029  	2735.152  	-413.386  	
4310030   	1816.029  	2735.152  	-413.386  	
4310129   	1816.029  	2735.152  	-413.386  	
4310228   	1816.029  	2735.152  	-413.386  	
4310330   	1816.029  	2735.152  	-413.386  	
4310429   	1816.029  	2735.152  	-413.386  	
4310531   	1816.029  	2735.152  	-413.386  	
4310630   	1816.029  	2735.152  	-413.386  	


Session #6

Time Stamp 	X-axis 		Y-axis 		Z-axis 		
4351672   	1809.260  	2780.092  	-311.598  	
4351774   	1809.261  	2780.090  	-311.601  	
4351873   	1809.261  	2780.091  	-311.604  	
4351972   	1809.257  	2780.090  	-311.606  	
4352074   	1809.268  	2780.087  	-311.585  	
4352173   	1809.270  	2780.089  	-311.572  	
4352272   	1809.264  	2780.093  	-311.575  	
4352371   	1809.268  	2780.094  	-311.560  	
4352470   	1809.263  	2780.099  	-311.566  	
4352572   	1809.259  	2780.102  	-311.568  	
4352671   	1809.185  	2780.700  	-311.570  	
4352773   	1809.049  	2781.793  	-311.563  	
4352872   	1808.715  	2784.601  	-311.593  	
4352971   	1808.368  	2787.480  	-311.590  	
4353073   	1807.925  	2790.625  	-311.605  	
4353172   	1807.556  	2793.460  	-311.607  	
4353271   	1807.115  	2796.934  	-311.628  	
4353370   	1806.731  	2799.983  	-311.620  	
4353469   	1806.560  	2801.304  	-311.613  	
4353571   	1806.221  	2803.840  	-311.614  	
4353670   	1806.046  	2805.258  	-311.624  	
